sampleID,Wgtype,sidecolor,Aperture,ROIsize,Operator,trial,LEDcolor,Sample#,Exit#,Camera#,MTF30_x,MTF30_y,MTF_x@15lp/deg,MTF_y@15lp/deg,CRA_dx(pixel),CRA_dy(pixel),ray_tilt_x(arcsec),ray_tilt_y(arcsec),rel_cross_pos_x(pixel),rel_cross_pos_y(pixel),CRA_x_from_cradx(arcmin),CRA_y_from_crady(arcmin),CRA_x_fromraytilt(arcmin),CRA_y_fromraytilt(arcmin),CRA_dx_(green-red),CRA_dy_(green-red),CRA_x_raytilt_(green-red),CRA_y_raytilt_(green-red)
19B157.07.21,iDolphin,RedRight,tool,500,James,1,red,1,1,1,20.1,16.5862069,0.512,0.351,-1.162,5.003,-37.2,128.1,0,3.4,0.284235547,-1.223778299,0.62,-2.135,,,,
19B157.07.21,iDolphin,RedRight,tool,500,James,1,green,1,1,1,24.77272727,21.91891892,0.543,0.555,-2.959,8.309,-63.8,176.4,3.3,1.6,0.723797739,-2.032455154,1.063333333,-2.94,0.439562192,-0.808676855,0.443333333,-0.805
19B157.07.21,iDolphin,RedRight,tool,500,James,2,red,1,1,1,20.83333333,18.39393939,0.527,0.429,-0.394,4.947,-26.4,127.2,-0.1,4.2,0.096375908,-1.210080202,0.44,-2.12,-0.627421831,0.822374952,-0.623333333,0.82
19B157.07.21,iDolphin,RedRight,tool,500,James,2,green,1,1,1,25.73333333,21.58823529,0.582,0.541,-2.866,8.219,-62.6,174.7,3.2,1.7,0.701049112,-2.01044036,1.043333333,-2.911666667,0.604673204,-0.800360158,0.603333333,-0.791666667
19B157.07.21,iDolphin,RedRight,tool,500,James,3,red,1,1,1,20.90322581,18.62857143,0.538,0.429,-0.086,4.709,-21.6,123,-0.3,4.5,0.021036366,-1.15186329,0.36,-2.05,-0.680012746,0.85857707,-0.683333333,0.861666667
19B157.07.21,iDolphin,RedRight,tool,500,James,3,green,1,1,1,25.71428571,21.87878788,0.584,0.55,-3.133,8.291,-66.2,175.8,3.3,1.4,0.766359686,-2.028052195,1.103333333,-2.93,0.74532332,-0.876188905,0.743333333,-0.88
19B157.07.21,iDolphin,RedRight,tool,600,James,1,red,1,1,1,20.25925926,17.39393939,0.488,0.385,-0.086,4.871,-22.1,125.8,-0.1,4.5,0.021036366,-1.191489928,0.368333333,-2.096666667,-0.74532332,0.836562267,-0.735,0.833333333
19B157.07.21,iDolphin,RedRight,tool,600,James,1,green,1,1,1,24.19047619,20.06896552,0.52,0.475,-2.855,8.384,-62.9,177.4,3.4,1.7,0.698358414,-2.050800815,1.048333333,-2.956666667,0.677322048,-0.859310887,0.68,-0.86
19B157.07.21,iDolphin,RedRight,tool,600,James,2,red,1,1,1,20.14285714,17.88571429,0.486,0.404,-0.474,5.033,-27.9,128.3,0,4.1,0.115944621,-1.231116565,0.465,-2.138333333,-0.582413793,0.81968425,-0.583333333,0.818333334
19B157.07.21,iDolphin,RedRight,tool,600,James,2,green,1,1,1,24.17391304,20.28571429,0.517,0.47,-2.838,8.37,-62.1,177.4,3.4,1.7,0.694200063,-2.047376291,1.035,-2.956666667,0.578255442,-0.816259726,0.57,-0.818333334
19B157.07.21,iDolphin,RedRight,tool,600,James,3,red,1,1,1,20,17.12903226,0.481,0.372,-0.499,4.941,-28.7,126.5,-0.1,4.1,0.122059843,-1.208612549,0.478333333,-2.108333333,-0.57214022,0.838763742,-0.556666667,0.848333334
19B157.07.21,iDolphin,RedRight,tool,600,James,3,green,1,1,1,23.875,20.37931034,0.517,0.48,-2.932,8.534,-63.6,179.4,3.5,1.6,0.717193299,-2.087492137,1.06,-2.99,0.595133456,-0.878879588,0.581666667,-0.881666667
19B157.07.21,iDolphin,RedRight,tool,700,James,1,red,1,1,1,18.39285714,15.6,0.409,0.318,-0.069,5.054,-21.6,127.8,0,4.5,0.016878014,-1.236253352,0.36,-2.13,-0.700315285,0.851238785,-0.7,0.86
19B157.07.21,iDolphin,RedRight,tool,700,James,1,green,1,1,1,21.78947368,18.18518519,0.43,0.384,-2.895,8.505,-62.8,179.5,3.5,1.7,0.70814277,-2.080398482,1.046666667,-2.991666667,0.691264756,-0.84414513,0.686666667,-0.861666667
19B157.07.21,iDolphin,RedRight,tool,700,James,2,red,1,1,1,18,14.9,0.4,0.297,-0.569,5.08,-29.2,127.9,0.1,4,0.139182467,-1.242613182,0.486666667,-2.131666667,-0.568960303,0.8377853,-0.56,0.86
19B157.07.21,iDolphin,RedRight,tool,700,James,2,green,1,1,1,21.41666667,17.51515152,0.44,0.374,-3.012,8.059,-64.7,172.3,3,1.6,0.73676201,-1.971302948,1.078333333,-2.871666667,0.597579543,-0.728689766,0.591666666,-0.74
19B157.07.21,iDolphin,RedRight,tool,700,James,3,red,1,1,1,18.62068966,16.03571429,0.415,0.329,-0.273,5.129,-24.8,129.4,0.1,4.3,0.066778231,-1.254599017,0.413333333,-2.156666667,-0.669983779,0.716703931,-0.665,0.715
19B157.07.21,iDolphin,RedRight,tool,700,James,3,green,1,1,1,22.05555556,18.11111111,0.444,0.386,-2.918,8.505,-64.2,179,3.5,1.6,0.713768774,-2.080398482,1.07,-2.983333333,0.646990543,-0.825799465,0.656666667,-0.826666666
19B157.07.21,iDolphin,RedRight,tool,800,James,1,red,1,1,1,16.83870968,13.81481481,0.359,0.27,-0.879,5.301,-34.7,131.9,0.3,3.7,0.215011227,-1.296671743,0.578333333,-2.198333333,-0.498757547,0.783726739,-0.491666667,0.785
19B157.07.21,iDolphin,RedRight,tool,800,James,1,green,1,1,1,19.1875,16.32,0.378,0.329,-3.264,8.664,-69.5,180.6,3.7,1.3,0.798403451,-2.119291283,1.158333333,-3.01,0.583392224,-0.82261954,0.58,-0.811666667
19B157.07.21,iDolphin,RedRight,tool,800,James,2,red,1,1,1,16.65517241,13.5625,0.352,0.258,-0.022,4.895,-21.8,126.5,-0.1,4.5,0.005381396,-1.197360541,0.363333333,-2.108333333,-0.793022055,0.921930742,-0.795,0.901666667
19B157.07.21,iDolphin,RedRight,tool,800,James,2,green,1,1,1,19.1875,16.64,0.377,0.337,-2.862,8.573,-63.5,180.1,3.6,1.7,0.700070676,-2.097031881,1.058333333,-3.001666667,0.69468928,-0.89967134,0.695,-0.893333334
19B157.07.21,iDolphin,RedRight,tool,800,James,3,red,1,1,1,16.8,13.51724138,0.358,0.259,-0.833,5.267,-33.9,130.9,0.3,3.7,0.203759217,-1.288355041,0.565,-2.181666667,-0.496311459,0.80867684,-0.493333333,0.82
19B157.07.21,iDolphin,RedRight,tool,800,James,3,green,1,1,1,19.46666667,16.44,0.377,0.332,-3.079,8.613,-66.3,180.7,3.6,1.5,0.753150806,-2.106816234,1.105,-3.011666667,0.549391589,-0.818461193,0.54,-0.83
19B157.07.21,iDolphin,RedRight,tool,1000,James,3,red,1,1,1,16.13793103,13.22222222,0.335,0.254,-0.313,5.027,-26.7,127.5,0,4.3,0.076562587,-1.229648912,0.445,-2.125,-0.676588219,0.877167322,-0.66,0.886666667
19B157.07.21,iDolphin,RedRight,tool,1000,James,3,green,1,1,1,19.53333333,15.36363636,0.366,0.308,-2.898,8.385,-63.2,176.8,3.4,1.7,0.708876596,-2.051045424,1.053333333,-2.946666667,0.632314009,-0.821396512,0.608333333,-0.821666667
19B157.07.21,iDolphin,RedRight,tool,1000,James,1,red,1,1,1,16.19354839,12.27027027,0.34,0.22,-0.811,5.189,-33.6,130.5,0.2,3.8,0.198377822,-1.26927555,0.56,-2.175,-0.510498774,0.781769874,-0.493333333,0.771666667
19B157.07.21,iDolphin,RedRight,tool,1000,James,1,green,1,1,1,17,14.6875,0.335,0.295,-3.098,8.606,-67.1,180.6,3.6,1.5,0.757798375,-2.105103972,1.118333333,-3.01,0.559420553,-0.835828422,0.558333333,-0.835
19B157.07.21,iDolphin,RedRight,tool,1000,James,2,red,1,1,1,15.59375,12.86111111,0.319,0.242,-0.23,5.062,-24.6,128.2,0.1,4.3,0.056260048,-1.238210223,0.41,-2.136666667,-0.701538327,0.866893749,-0.708333333,0.873333333
19B157.07.21,iDolphin,RedRight,tool,1000,James,2,green,1,1,1,18.13333333,14.44444444,0.347,0.29,-3.011,8.484,-65.8,178.4,3.5,1.6,0.736517401,-2.075261697,1.096666667,-2.973333333,0.680257353,-0.837051474,0.686666667,-0.836666666
19B157.07.21,iDolphin,RedRight,tool,1100,James,1,red,1,1,1,15.96428571,12.08333333,0.327,0.218,-0.815,5.049,-34.2,127.8,0,3.7,0.199356257,-1.235030307,0.57,-2.13,-0.537161144,0.84023139,-0.526666667,0.843333333
19B157.07.21,iDolphin,RedRight,tool,1100,James,1,green,1,1,1,17,14,0.331,0.284,-3.159,8.656,-67.5,181.3,3.6,1.4,0.772719517,-2.117334413,1.125,-3.021666667,0.57336326,-0.882304106,0.555,-0.891666667
19B157.07.21,iDolphin,RedRight,tool,1100,James,2,red,1,1,1,15.35483871,12.58333333,0.311,0.234,-0.098,5.213,-23.9,130,0.2,4.5,0.023971673,-1.275146162,0.398333333,-2.166666667,-0.748747844,0.842188251,-0.726666667,0.855
19B157.07.21,iDolphin,RedRight,tool,1100,James,2,green,1,1,1,17.11111111,14.76470588,0.335,0.296,-2.843,8.675,-63.6,181.4,3.7,1.7,0.695423107,-2.12198198,1.06,-3.023333333,0.671451434,-0.846835818,0.661666667,-0.856666666
19B157.07.21,iDolphin,RedRight,tool,1100,James,3,red,1,1,1,15.4,12.80555556,0.312,0.24,0.148,4.833,-19.5,124.9,-0.2,4.7,-0.036202118,-1.182194791,0.325,-2.081666667,-0.731625225,0.939787189,-0.735,0.941666666
19B157.07.21,iDolphin,RedRight,tool,1100,James,3,green,1,1,1,17.11764706,14.05882353,0.333,0.284,-2.974,8.607,-66,179.9,3.6,1.6,0.727466872,-2.105348581,1.1,-2.998333333,0.76366899,-0.92315379,0.775,-0.916666666
19B157.07.21,iDolphin,RedRight,tool,1200,James,1,red,1,1,1,15.03571429,12.47222222,0.301,0.231,0.018,4.98,-22.3,126.6,0,4.6,-0.00440296,-1.218152295,0.371666667,-2.11,-0.731869832,0.887196286,-0.728333333,0.888333333
19B157.07.21,iDolphin,RedRight,tool,1200,James,1,green,1,1,1,16.33333333,14.66666667,0.32,0.294,-2.944,8.574,-65.2,179.7,3.6,1.6,0.720128605,-2.09727649,1.086666667,-2.995,0.724531565,-0.879124195,0.715,-0.885
19B157.07.21,iDolphin,RedRight,tool,1200,James,2,red,1,1,1,15.5862069,12.05405405,0.317,0.213,-0.805,5.105,-33.4,129.4,0.1,3.8,0.196910168,-1.248728404,0.556666667,-2.156666667,-0.523218437,0.848548086,-0.53,0.838333333
19B157.07.21,iDolphin,RedRight,tool,1200,James,2,green,1,1,1,16.46666667,14,0.322,0.285,-2.987,8.688,-65.8,180.8,3.7,1.6,0.730646788,-2.125161895,1.096666667,-3.013333333,0.53373662,-0.876433491,0.54,-0.856666666
19B157.07.21,iDolphin,RedRight,tool,1200,James,3,red,1,1,1,14.3,12.06451613,0.279,0.227,-1.526,4.918,-45.4,125.7,-0.1,3,0.373273187,-1.202986545,0.756666667,-2.095,-0.357373601,0.92217535,-0.34,0.918333333
19B157.07.21,iDolphin,RedRight,tool,1200,James,3,green,1,1,1,16.42857143,13.55555556,0.32,0.273,-3.467,8.39,-73.4,176.3,3.4,1.1,0.848059056,-2.052268468,1.223333333,-2.938333333,0.474785869,-0.849281923,0.466666666,-0.843333333
19B157.07.21,iDolphin,RedRight,tool,900,James,1,red,1,1,1,15.53125,12.56756757,0.317,0.233,-0.431,5.037,-29.3,127.1,0,4.1,0.105426438,-1.232095001,0.488333333,-2.118333333,-0.742632618,0.820173467,-0.735,0.82
19B157.07.21,iDolphin,RedRight,tool,900,James,1,green,1,1,1,17.70588235,15.44444444,0.349,0.308,-3.103,8.561,-68.2,179.2,3.6,1.5,0.759021419,-2.094096575,1.136666667,-2.986666667,0.653594981,-0.862001574,0.648333334,-0.868333334
19B157.07.21,iDolphin,RedRight,tool,900,James,2,red,1,1,1,15.67741935,13.12903226,0.321,0.246,-0.293,4.982,-27.1,127,0,4.3,0.071670409,-1.218641513,0.451666667,-2.116666667,-0.68735101,0.875455062,-0.685,0.87
19B157.07.21,iDolphin,RedRight,tool,900,James,2,green,1,1,1,18.375,14.95,0.358,0.299,-3.034,8.491,-67.6,178.6,3.5,1.5,0.742143406,-2.076973958,1.126666667,-2.976666667,0.670472997,-0.858332445,0.675,-0.86
19B157.07.21,iDolphin,RedRight,tool,900,James,3,red,1,1,1,15.96774194,13.35714286,0.33,0.255,-0.219,5.123,-26.5,127.3,0.1,4.3,0.05356935,-1.253131364,0.441666667,-2.121666667,-0.688574056,0.823842594,-0.685,0.855
19B157.07.21,iDolphin,RedRight,tool,900,James,3,green,1,1,1,18,15.66666667,0.35,0.314,-3.059,8.499,-68.4,178.4,3.5,1.5,0.748258628,-2.078930829,1.14,-2.973333333,0.694689278,-0.825799465,0.698333333,-0.851666666
19B157.07.22,iDolphin,RedRight,tool,600,James,1,red,1,1,1,22.85185185,19.73529412,0.552,0.483,-3.114,-0.99,-68.9,39.5,-6,1.5,0.761712117,0.242162815,1.148333333,-0.658333333,0.013453489,2.321093644,0.008333333,2.315
19B157.07.22,iDolphin,RedRight,tool,600,James,1,green,1,1,1,25.39130435,20.61764706,0.546,0.51,-7.611,1.782,-134.5,79.9,-3.2,-3,1.861718193,-0.435893066,2.241666667,-1.331666667,1.100006076,-0.678055881,1.093333334,-0.673333334
19B157.07.22,iDolphin,RedRight,tool,600,James,2,red,1,1,1,22.26923077,19.12121212,0.542,0.456,-2.751,-1.079,-62.4,38.5,-6.1,1.8,0.672919089,0.263933008,1.04,-0.641666667,-1.188799104,0.699826074,-1.201666667,0.69
19B157.07.22,iDolphin,RedRight,tool,600,James,2,green,1,1,1,24.11111111,20.35294118,0.516,0.503,-7.745,1.854,-135.7,80.7,-3.2,-3.2,1.894495776,-0.453504907,2.261666667,-1.345,1.221576687,-0.717437915,1.221666667,-0.703333333
19B157.07.22,iDolphin,RedRight,tool,500,James,1,red,1,1,1,22.92592593,19.55882353,0.579,0.482,-2.675,-1.065,-62.5,38.3,-6.1,1.9,0.654328813,0.260508483,1.041666667,-0.638333333,-1.240166963,0.71401339,-1.22,0.706666667
19B157.07.22,iDolphin,RedRight,tool,500,James,1,green,1,1,1,24.56521739,21.4,0.555,0.566,-7.598,1.917,-133.9,81.9,-3.1,-3,1.858538278,-0.468915268,2.231666667,-1.365,1.204209465,-0.729423751,1.19,-0.726666667
19B157.07.22,iDolphin,RedRight,tool,500,James,2,red,1,1,1,23.86206897,21.18181818,0.604,0.55,-2.926,-0.798,-65.1,42.2,-5.8,1.6,0.715725645,0.195197906,1.085,-0.703333333,-1.142812633,0.664113174,-1.146666667,0.661666667
19B157.07.22,iDolphin,RedRight,tool,500,James,2,green,1,1,1,25.375,22.27586207,0.58,0.584,-7.813,1.868,-138.1,80.2,-3.1,-3.2,1.911129177,-0.456929432,2.301666667,-1.336666667,1.195403532,-0.652127338,1.216666667,-0.633333334
19B157.07.22,iDolphin,RedRight,tool,500,James,3,red,1,1,1,23.5,20.34375,0.588,0.51,-3.244,-0.849,-70.2,41.3,-5.9,1.3,0.793511273,0.20767296,1.17,-0.688333333,-1.117617904,0.664602392,-1.131666667,0.648333334
19B157.07.22,iDolphin,RedRight,tool,500,James,3,green,1,1,1,25.34782609,22,0.563,0.601,-7.785,1.693,-137.3,77.9,-3.3,-3.2,1.904280129,-0.414122874,2.288333333,-1.298333333,1.110768856,-0.621795834,1.118333333,-0.61
19B157.07.22,iDolphin,RedRight,tool,700,James,1,red,1,1,1,20.58333333,17.625,0.468,0.385,-2.709,-1.14,-62.5,36.1,-6.1,1.9,0.662645515,0.278854151,1.041666667,-0.601666667,-1.241634614,0.692977025,-1.246666666,0.696666666
19B157.07.22,iDolphin,RedRight,tool,700,James,1,green,1,1,1,20.72222222,17.93548387,0.429,0.391,-7.514,1.889,-133.3,81,-3.1,-3,1.837991136,-0.462066218,2.221666667,-1.35,1.175345621,-0.740920369,1.18,-0.748333333
19B157.07.22,iDolphin,RedRight,tool,700,James,2,red,1,1,1,20.41666667,16.93939394,0.464,0.365,-2.512,-1.022,-60.3,38,-6,2.1,0.614457562,0.2499903,1.005,-0.633333333,-1.223533574,0.712056518,-1.216666667,0.716666667
19B157.07.22,iDolphin,RedRight,tool,700,James,2,green,1,1,1,20,17.73333333,0.416,0.381,-7.509,1.984,-132.6,83,-3,-2.9,1.836768092,-0.485304064,2.21,-1.383333333,1.22231053,-0.735294364,1.205,-0.75
19B157.07.22,iDolphin,RedRight,tool,800,James,1,red,1,1,1,18.82608696,16.06896552,0.406,0.333,-2.542,-1.016,-60.4,38.4,-6,2,0.621795829,0.248522647,1.006666667,-0.64,-1.214972263,0.733826711,-1.203333333,0.743333333
19B157.07.22,iDolphin,RedRight,tool,800,James,1,green,1,1,1,18.22222222,16.23076923,0.369,0.333,-7.665,1.862,-135.8,80.9,-3.1,-3.1,1.87492707,-0.455461778,2.263333333,-1.348333333,1.253131241,-0.703984425,1.256666666,-0.708333333
19B157.07.22,iDolphin,RedRight,tool,800,James,2,red,1,1,1,18.73913043,16.43333333,0.404,0.344,-2.555,-1.022,-60.8,39.2,-6,2,0.624975745,0.2499903,1.013333333,-0.653333333,-1.249951325,0.705452078,-1.25,0.695
19B157.07.22,iDolphin,RedRight,tool,800,James,2,green,1,1,1,18.31578947,16.46153846,0.373,0.338,-7.723,1.967,-136.9,82.4,-3,-3.2,1.889114382,-0.481145713,2.281666667,-1.373333333,1.264138637,-0.731136013,1.268333334,-0.72
19B157.07.22,iDolphin,RedRight,tool,900,James,1,red,1,1,1,18,15.60714286,0.383,0.317,-2.436,-0.951,-59.3,39.5,-6,2.1,0.595867286,0.232623068,0.988333333,-0.658333333,-1.293247096,0.713768781,-1.293333334,0.715
19B157.07.22,iDolphin,RedRight,tool,900,James,1,green,1,1,1,16.63157895,14.95454545,0.33,0.299,-7.789,2.02,-137.5,82.9,-3,-3.2,1.905258565,-0.494109984,2.291666667,-1.381666667,1.309391279,-0.726733052,1.303333334,-0.723333334
19B157.07.22,iDolphin,RedRight,tool,900,James,2,red,1,1,1,18.54545455,15.66666667,0.388,0.318,-2.672,-1.167,-63.5,36.7,-6.2,1.9,0.653594986,0.285458591,1.058333333,-0.611666667,-1.251663579,0.779568575,-1.233333334,0.77
19B157.07.22,iDolphin,RedRight,tool,900,James,2,green,1,1,1,16.05,14.58333333,0.321,0.29,-7.963,2.03,-139.7,83.3,-3,-3.4,1.947820501,-0.496556073,2.328333333,-1.388333333,1.294225515,-0.782014664,1.27,-0.776666666
19B157.07.22,iDolphin,RedRight,tool,1100,James,2,red,1,1,1,17.04166667,15.21428571,0.356,0.306,-2.71,-1.158,-63.6,37.1,-6.2,1.9,0.662890124,0.283257111,1.06,-0.618333333,-1.284930377,0.779813184,-1.268333333,0.77
19B157.07.22,iDolphin,RedRight,tool,1100,James,2,green,1,1,1,15.5,13.94736842,0.308,0.278,-7.711,2.077,-136.7,84.3,-2.9,-3.1,1.886179076,-0.508052692,2.278333333,-1.405,1.223288952,-0.791309803,1.218333333,-0.786666667
19B157.07.22,iDolphin,RedRight,tool,1100,James,3,red,1,1,1,16.76,14.25,0.348,0.279,-2.828,-0.943,-65.6,39.5,-6,1.7,0.691753974,0.230666197,1.093333333,-0.658333333,-1.194425102,0.738718889,-1.185,0.746666667
19B157.07.22,iDolphin,RedRight,tool,1100,James,3,green,1,1,1,15.75,14.80952381,0.312,0.296,-7.722,1.813,-137.4,80.4,-3.2,-3.2,1.888869773,-0.443475942,2.29,-1.34,1.197115799,-0.674142139,1.196666667,-0.681666667
19B157.07.22,iDolphin,RedRight,tool,600,James,3,red,1,1,1,21.96666667,18.25,0.531,0.425,-3.032,-1.013,-68.7,38.6,-6,1.5,0.741654188,0.24778882,1.145,-0.643333333,-1.147215585,0.691264762,-1.145,0.696666667
19B157.07.22,iDolphin,RedRight,tool,600,James,3,green,1,1,1,24.25,20.5,0.519,0.528,-7.826,1.652,-138.4,77.2,-3.4,-3.3,1.914309091,-0.404093909,2.306666667,-1.286666667,1.172654903,-0.651882729,1.161666667,-0.643333334
19B157.07.22,iDolphin,RedRight,tool,1100,James,1,red,1,1,1,17.375,14.89655172,0.363,0.297,-2.828,-1.099,-64.6,37,-6.1,1.7,0.691753974,0.268825186,1.076666667,-0.616666667,-1.222555117,0.672919095,-1.23,0.67
19B157.07.22,iDolphin,RedRight,tool,1100,James,1,green,1,1,1,16.26315789,14.66666667,0.321,0.293,-7.848,1.754,-138.9,78.9,-3.3,-3.3,1.919690486,-0.429044017,2.315,-1.315,1.227936512,-0.697869203,1.238333333,-0.698333333
19B157.07.22,iDolphin,RedRight,tool,700,James,3,red,1,1,1,20.36,17.4375,0.455,0.382,-2.896,-1.025,-65.4,38.9,-6,1.7,0.708387378,0.250724127,1.09,-0.648333333,-1.211303108,0.679768144,-1.225,0.666666667
19B157.07.22,iDolphin,RedRight,tool,700,James,3,green,1,1,1,21,18.06451613,0.429,0.394,-7.86,1.614,-137.7,76.6,-3.4,-3.3,1.922625792,-0.394798771,2.295,-1.276666667,1.214238414,-0.645522898,1.205,-0.628333334
19B157.07.22,iDolphin,RedRight,tool,800,James,3,red,1,1,1,18.40909091,15.03225806,0.396,0.301,-2.698,-1.473,-64,31.7,-6.5,1.9,0.659954817,0.360308916,1.066666667,-0.528333333,-1.262670975,0.755107687,-1.228333333,0.748333334
19B157.07.22,iDolphin,RedRight,tool,800,James,3,green,1,1,1,17.31578947,15.92592593,0.345,0.325,-7.626,1.891,-134.6,81.3,-3.1,-3.1,1.865387325,-0.462555436,2.243333333,-1.355,1.205432508,-0.822864352,1.176666666,-0.826666667
19B157.07.22,iDolphin,RedRight,tool,900,James,3,red,1,1,1,17.76923077,15.44827586,0.379,0.313,-2.632,-1.191,-62.3,35.8,-6.2,1.9,0.64381063,0.291329205,1.038333333,-0.596666667,-1.221576695,0.753884641,-1.205,0.758333333
19B157.07.22,iDolphin,RedRight,tool,900,James,3,green,1,1,1,16.94736842,15.28,0.338,0.307,-7.764,1.754,-136.9,79.2,-3.3,-3.2,1.899143344,-0.429044017,2.281666667,-1.32,1.255332714,-0.720373222,1.243333334,-0.723333333
19B157.07.22,iDolphin,RedRight,tool,1000,James,1,red,1,1,1,17.125,14.79310345,0.359,0.294,-2.538,-1.197,-60.2,35.9,-6.2,2,0.620817394,0.292796858,1.003333333,-0.598333333,-1.27832595,0.721840875,-1.278333334,0.721666667
19B157.07.22,iDolphin,RedRight,tool,1000,James,1,green,1,1,1,16,14.6,0.317,0.292,-7.746,1.764,-137.2,79,-3.2,-3.2,1.894740385,-0.431490106,2.286666667,-1.316666667,1.273922991,-0.724286964,1.283333334,-0.718333334
19B157.07.22,iDolphin,RedRight,tool,1000,James,2,red,1,1,1,17.5,15.23333333,0.367,0.307,-2.624,-1.123,-62.9,37.7,-6.1,1.9,0.641853759,0.2746958,1.048333333,-0.628333333,-1.252886626,0.706185906,-1.238333334,0.688333334
19B157.07.22,iDolphin,RedRight,tool,1000,James,2,green,1,1,1,16.33333333,14.47826087,0.325,0.288,-7.706,1.702,-136.6,78,-3.3,-3.1,1.884956032,-0.416324354,2.276666667,-1.3,1.243102273,-0.691020154,1.228333334,-0.671666667
19B157.07.22,iDolphin,RedRight,tool,1000,James,3,red,1,1,1,17.83333333,15.15384615,0.379,0.304,-2.583,-1.162,-61.2,36.8,-6.2,2,0.631824794,0.284235547,1.02,-0.613333333,-1.253131238,0.700559901,-1.256666667,0.686666667
19B157.07.22,iDolphin,RedRight,tool,1000,James,3,green,1,1,1,16.17647059,14.72727273,0.321,0.294,-7.739,1.74,-137,78.6,-3.3,-3.2,1.893028123,-0.425619492,2.283333333,-1.31,1.261203329,-0.709855039,1.263333333,-0.696666667
19B157.07.22,iDolphin,RedRight,tool,1200,James,1,red,1,1,1,17.125,14.96428571,0.356,0.299,-2.536,-1.155,-60.5,36.2,-6.2,2,0.620328176,0.282523284,1.008333333,-0.603333333,-1.272699947,0.708142776,-1.275,0.706666667
19B157.07.22,iDolphin,RedRight,tool,1200,James,1,green,1,1,1,15.07142857,13.8,0.301,0.276,-7.776,1.76,-137.7,80,-3.2,-3.2,1.90207865,-0.43051167,2.295,-1.333333333,1.281750474,-0.713034954,1.286666667,-0.73
19B157.07.22,iDolphin,RedRight,tool,1200,James,2,red,1,1,1,16.96,14.57142857,0.354,0.288,-2.552,-1.336,-60.5,34,-6.3,2,0.624241918,0.326797496,1.008333333,-0.566666667,-1.277836732,0.757309166,-1.286666667,0.766666666
19B157.07.22,iDolphin,RedRight,tool,1200,James,2,green,1,1,1,14.41176471,13.3125,0.29,0.269,-7.625,1.942,-135.5,82.1,-3.1,-3.1,1.865142716,-0.47503049,2.258333333,-1.368333333,1.240900798,-0.801827986,1.25,-0.801666666
19B157.07.22,iDolphin,RedRight,tool,1200,James,3,red,1,1,1,16.53846154,14.89285714,0.344,0.297,-2.584,-1.193,-61.8,36.3,-6.2,2,0.632069403,0.291818423,1.03,-0.605,-1.233073313,0.766848913,-1.228333333,0.763333333
19B157.07.22,iDolphin,RedRight,tool,1200,James,3,green,1,1,1,15.26666667,14.0952381,0.304,0.281,-7.559,1.877,-133.6,80.8,-3.1,-3,1.848998533,-0.459130912,2.226666667,-1.346666667,1.21692913,-0.750949335,1.196666667,-0.741666667
19b157.11.22,iDolphin,RedRight,tool,500,James,1,red,1,1,1,23.61538462,21.2962963,0.6,0.523,-0.232,-0.186,-24.8,49.5,-5.2,4.3,0.056749266,0.045497256,0.413333333,-0.825,-1.792249267,0.504628168,-1.813333334,0.521666667
19b157.11.22,iDolphin,RedRight,tool,500,James,1,green,1,1,1,24.84210526,22.5,0.579,0.592,-4.216,3.905,-83.3,111.3,-1.1,0.3,1.031271112,-0.955197749,1.388333333,-1.855,0.974521846,-1.000695005,0.975,-1.03
19b157.11.22,iDolphin,RedRight,tool,500,James,2,red,1,1,1,23.65384615,21.42857143,0.602,0.532,-0.583,-0.164,-30.6,51,-5.2,4,0.142606991,0.04011586,0.51,-0.85,-0.888664121,0.995313609,-0.878333333,1.005
19b157.11.22,iDolphin,RedRight,tool,500,James,2,green,1,1,1,25.57142857,22.79411765,0.573,0.617,-4.453,3.916,-87.7,111.1,-1.1,0.1,1.089243417,-0.957888447,1.461666667,-1.851666667,0.946636426,-0.998004307,0.951666667,-1.001666667
19b157.11.22,iDolphin,RedRight,tool,500,James,3,red,1,1,1,23.62962963,21.89285714,0.603,0.548,-0.624,-0.303,-31.3,49.1,-5.3,3.9,0.152635957,0.074116498,0.521666667,-0.818333333,-0.93660746,1.032004945,-0.94,1.033333334
19b157.11.22,iDolphin,RedRight,tool,500,James,3,green,1,1,1,26.10526316,22.93939394,0.589,0.609,-4.592,3.838,-89.9,109.5,-1.2,0,1.123244051,-0.938808953,1.498333333,-1.825,0.970608094,-1.012925451,0.976666666,-1.006666667
19b157.11.22,iDolphin,RedRight,tool,600,James,1,red,1,1,1,22.28571429,19.6969697,0.548,0.469,-0.372,-0.227,-27.9,50.2,-5.2,4.2,0.090994513,0.055526221,0.465,-0.836666667,-1.032249538,0.994335174,-1.033333333,0.988333333
19b157.11.22,iDolphin,RedRight,tool,600,James,1,green,1,1,1,23.66666667,20.90909091,0.515,0.517,-4.407,3.972,-87.1,111.4,-1,0.2,1.077991408,-0.971586544,1.451666667,-1.856666667,0.986996895,-1.027112765,0.986666667,-1.02
19b157.11.22,iDolphin,RedRight,tool,600,James,2,red,1,1,1,21.84615385,17.6,0.54,0.396,-0.361,-0.649,-26.8,43.5,-5.7,4.2,0.088303815,0.158751179,0.446666667,-0.725,-0.989687593,1.130337723,-1.005,1.131666667
